"PathwayID","PathwaySize","SignificantGenesInPathway","SignificantGenesTotal","GeneRatio","BackgroundRatio","P.Value","Genes","adj.P.Val","PathwayName"
"hsa04260",81,3,37,0.0810810810810811,0.0106775639335618,0.0070178824204268,"4635/55799/7170",0.56086622636159,"Cardiac muscle contraction"
"hsa05216",37,2,37,0.0540540540540541,0.00487740574742948,0.0138485487990516,"5979/7170",0.56086622636159,"Thyroid cancer"
"hsa04820",231,4,37,0.108108108108108,0.0304508304771948,0.0251934374653538,"4635/4703/7170/131873",0.564816352526357,"Cytoskeleton in muscle cells"
"hsa04261",145,3,37,0.0810810810810811,0.0191141576588452,0.0331000175019515,"4635/55799/7170",0.564816352526357,"Adrenergic signaling in cardiomyocytes"
"hsa04514",148,3,37,0.0810810810810811,0.0195096229897179,0.0348652069460714,"22829/3897/214",0.564816352526357,"Cell adhesion molecule (CAM) interaction"
"hsa00430",14,1,37,0.027027027027027,0.00184550487740575,0.0662155160455017,"339896",0.656407273041092,"Taurine and hypotaurine metabolism"
"hsa05410",93,2,37,0.0540540540540541,0.0122594252570525,0.075099565695494,"55799/7170",0.656407273041092,"Hypertrophic cardiomyopathy"
"hsa03273",17,1,37,0.027027027027027,0.00224097020827841,0.0798391270611352,"83259",0.656407273041092,"Virion - Lassa virus and SFTS virus"
"hsa05414",98,2,37,0.0540540540540541,0.0129185341418402,0.0821984351398648,"55799/7170",0.656407273041092,"Dilated cardiomyopathy"
"hsa04744",20,1,37,0.027027027027027,0.00263643553915107,0.0932692696649398,"9626",0.656407273041092,"Phototransduction"
"hsa00770",21,1,37,0.027027027027027,0.00276825731610862,0.0977034537810374,"339896",0.656407273041092,"Pantothenate and CoA biosynthesis"
"hsa00534",24,1,37,0.027027027027027,0.00316372264698128,0.110879789007032,"266722",0.656407273041092,"Glycosaminoglycan biosynthesis - heparan sulfate / heparin"
"hsa04926",125,2,37,0.0540540540540541,0.0164777221196942,0.123675034556924,"6013/6019",0.656407273041092,"Relaxin signaling pathway"
"hsa00410",29,1,37,0.027027027027027,0.00382283153176905,0.132425429890108,"339896",0.656407273041092,"beta-Alanine metabolism"
